FAST,SLOW,CAGR,Sharpe,MaxDrawdown,FinalEquity,Turnover_per_bar,NumTrades
5,50,0.18964213412917386,0.9718213182350127,-0.2459052427364885,36219.110747645434,0.03166935050993022,59.0
5,100,0.20187888870193826,0.931049804754241,-0.22557490641701927,37700.985099358346,0.01820187534473249,33.0
10,50,0.1690940222116457,0.8757681171257239,-0.25835774937652756,31831.47519691322,0.02844873859366613,53.0
30,50,0.18090883439330852,0.8661854035052636,-0.29537316390634005,34294.279094925,0.02200751476113795,41.0
5,250,0.2008348128170161,0.8238940774439598,-0.3142725584529513,33588.378532036666,0.00841852074564041,14.0
20,50,0.15695268983680144,0.794542815638247,-0.29093514280555866,29461.498859499898,0.02308105206655931,43.0
10,250,0.1866477534060791,0.7763211283221837,-0.3142725584529513,31046.998024982993,0.00841852074564041,14.0
10,200,0.17404515028204037,0.7522204691500282,-0.3142725584529509,29870.973365259182,0.008172796263864565,14.0
20,250,0.1733555250901735,0.7312995622249512,-0.32619501911787985,28815.931035553,0.006013229104028864,10.0
5,200,0.15418765377068455,0.6937634581542734,-0.3376074150305658,26590.3688577125,0.014010507880910683,24.0
50,100,0.14418789499758278,0.6587968297047017,-0.3142725584529512,26434.669494616544,0.010479867622724766,19.0
30,200,0.14898458592233377,0.6514914023206407,-0.34986778099354554,25783.50977999123,0.0070052539404553416,12.0
10,100,0.13101364319327846,0.6496422015400016,-0.2922495944665944,24315.100803772508,0.014892443463872035,27.0
20,100,0.13447375877850853,0.6391556201758787,-0.3538117014481392,24857.08471854986,0.013789299503585218,25.0
30,250,0.13767502357087769,0.6115137172446348,-0.3713683966722682,23488.081365167072,0.006013229104028864,10.0
30,100,0.12680470505718655,0.6030935278389249,-0.3142725584529512,23669.57208824304,0.011583011583011582,21.0
50,250,0.13780556887263806,0.6010019671073522,-0.43169559722643813,23505.929657750366,0.004810583283223091,8.0
10,150,0.1229099137554992,0.592998515012811,-0.29006707461505743,22549.5591691019,0.01588201928530913,28.0
5,150,0.11630283123331786,0.5739986576025371,-0.2823116137313766,21635.203717876146,0.021554169030062395,38.0
20,200,0.11513945328450381,0.5447994145684235,-0.3566230236975324,21027.341522429328,0.008172796263864565,14.0
20,150,0.10499803596553137,0.518144746208941,-0.33770282924413186,20144.37552040743,0.01020986954055587,18.0
50,150,0.10161241021900591,0.4989096986683777,-0.37923882706786305,19715.41163656588,0.007941009642654566,14.0
30,150,0.08162087615812474,0.43239195170914213,-0.37815641377794973,17338.647272955557,0.01020986954055587,18.0
50,200,0.080885475710879,0.42304303394925186,-0.4333210946090792,16997.18348424925,0.005837711617046118,10.0
